shortcode,campaign,handle,likes,comments,reposts,posted,instagram_url,counts_hidden
DbN2yjmNqHZ,StarVille,tala.nn,28,0,,"July 25, 2026",https://www.instagram.com/p/DbN2yjmNqHZ/,
DXHw3n7iBN8,SVR Sun Secure,hebaaltaib98,28,11,,"April 14, 2026",https://www.instagram.com/p/DXHw3n7iBN8/,
DXH_rr6iCip,SVR Sun Secure,dr_zaina_alsebaei,53,12,,"April 14, 2026",https://www.instagram.com/p/DXH_rr6iCip/,
DX9Ok7ilzs1,SVR,svr_saudi,2,0,,"May 5, 2026",https://www.instagram.com/p/DX9Ok7ilzs1/,
DXT8UGzCtPz,SVR Sun Secure,samirahmoe77,53,2,,"April 19, 2026",https://www.instagram.com/p/DXT8UGzCtPz/,
DXFX3TKja5i,SVR Sun Secure,daliaasaharti111,328,20,,"April 13, 2026",https://www.instagram.com/p/DXFX3TKja5i/,
DXFDnfYiHIl,SVR,amal.ramadaan,176,37,,"April 13, 2026",https://www.instagram.com/p/DXFDnfYiHIl/,
DW6zCzAN15i,SVR Sun Secure,heidi_ahmed2,459,38,,"April 9, 2026",https://www.instagram.com/p/DW6zCzAN15i/,
DW1JJePjapG,SVR,noha.mgdi,198,103,,"April 7, 2026",https://www.instagram.com/p/DW1JJePjapG/,
DWmRBGwjRHM,SVR Sun Secure,daliaasaharti111,445,22,,"April 1, 2026",https://www.instagram.com/p/DWmRBGwjRHM/,
DWmP2RDDXj5,SVR,besh_7h,21,6,,"April 1, 2026",https://www.instagram.com/p/DWmP2RDDXj5/,
DWY86VhiOTy,SVR,hindalbaba,115,4,,"March 27, 2026",https://www.instagram.com/p/DWY86VhiOTy/,
DWc4bVziMLX,SVR Sun Secure,ahdabyamanii,25,0,,"March 28, 2026",https://www.instagram.com/p/DWc4bVziMLX/,
DWXgqwZjITK,SVR,shahoda_touch,579,9,,"March 26, 2026",https://www.instagram.com/p/DWXgqwZjITK/,
DU_PFdwkoDC,SVR,svr_saudi,20,0,,"February 20, 2026",https://www.instagram.com/p/DU_PFdwkoDC/,
DXUb2fEDfW_,SVR Sun Secure,mahahajibraheem,,193,6,"April 19, 2026",https://www.instagram.com/p/DXUb2fEDfW_/,yes
DXJdg3wtCve,SVR,foga.1980,33,0,,"April 15, 2026",https://www.instagram.com/p/DXJdg3wtCve/,
DW2_xMyjDHe,Other campaigns,beautydemoisellle,,2,4,"April 7, 2026",https://www.instagram.com/p/DW2_xMyjDHe/,yes
DW1PkEYDYS3,SVR,foga.1980,109,10,,"April 7, 2026",https://www.instagram.com/p/DW1PkEYDYS3/,
DYZoUjBMCet,Whites,its_me_sofia94,2819,112,,"May 16, 2026",https://www.instagram.com/p/DYZoUjBMCet/,
DYbuOP1CXm_,Alpha Plus,model.nour1,39,14,,"May 17, 2026",https://www.instagram.com/p/DYbuOP1CXm_/,
DYfohz6uprC,Alpha Plus,rimar.moe,,,2,"May 18, 2026",https://www.instagram.com/p/DYfohz6uprC/,yes
